dataset,predictor,predictor_params,seed,n_train,ndcg,ndcg_1mut,spearman,spearman_1mut,topk,topk_mean,topk_mean_1mut
BLAT_ECOLX_Ranganathan2015-2500,onehot,,0,240,0.6010,0.6010,0.4917,0.4917,96,-0.3966,-0.3966
BLAT_ECOLX_Ranganathan2015-2500,onehot,,1,240,0.6062,0.6062,0.4932,0.4932,96,-0.3646,-0.3646
BLAT_ECOLX_Ranganathan2015-2500,onehot,,2,240,0.5948,0.5948,0.4835,0.4835,96,-0.3440,-0.3440
BLAT_ECOLX_Ranganathan2015-2500,onehot,,3,240,0.6101,0.6101,0.4385,0.4385,96,-0.2888,-0.2888
BLAT_ECOLX_Ranganathan2015-2500,onehot,,4,240,0.6077,0.6077,0.4747,0.4747,96,-0.2830,-0.2830
BLAT_ECOLX_Ranganathan2015-2500,onehot,,5,240,0.6546,0.6546,0.5333,0.5333,96,-0.2477,-0.2477
BLAT_ECOLX_Ranganathan2015-2500,onehot,,6,240,0.5203,0.5203,0.4287,0.4287,96,-0.3722,-0.3722
BLAT_ECOLX_Ranganathan2015-2500,onehot,,7,240,0.6371,0.6371,0.4946,0.4946,96,-0.2574,-0.2574
BLAT_ECOLX_Ranganathan2015-2500,onehot,,8,240,0.6568,0.6568,0.5124,0.5124,96,-0.3221,-0.3221
BLAT_ECOLX_Ranganathan2015-2500,onehot,,9,240,0.6277,0.6277,0.4972,0.4972,96,-0.2341,-0.2341
BLAT_ECOLX_Ranganathan2015-2500,onehot,,10,240,0.6244,0.6244,0.5030,0.5030,96,-0.3527,-0.3527
BLAT_ECOLX_Ranganathan2015-2500,onehot,,11,240,0.6049,0.6049,0.4901,0.4901,96,-0.3652,-0.3652
BLAT_ECOLX_Ranganathan2015-2500,onehot,,12,240,0.5878,0.5878,0.4803,0.4803,96,-0.3109,-0.3109
BLAT_ECOLX_Ranganathan2015-2500,onehot,,13,240,0.6146,0.6146,0.4659,0.4659,96,-0.1970,-0.1970
BLAT_ECOLX_Ranganathan2015-2500,onehot,,14,240,0.6677,0.6677,0.5236,0.5236,96,-0.2071,-0.2071
BLAT_ECOLX_Ranganathan2015-2500,onehot,,15,240,0.5584,0.5584,0.5011,0.5011,96,-0.4787,-0.4787
BLAT_ECOLX_Ranganathan2015-2500,onehot,,16,240,0.6235,0.6235,0.4748,0.4748,96,-0.2542,-0.2542
BLAT_ECOLX_Ranganathan2015-2500,onehot,,17,240,0.6295,0.6295,0.4790,0.4790,96,-0.2648,-0.2648
BLAT_ECOLX_Ranganathan2015-2500,onehot,,18,240,0.6483,0.6483,0.5164,0.5164,96,-0.1780,-0.1780
BLAT_ECOLX_Ranganathan2015-2500,onehot,,19,240,0.6620,0.6620,0.5095,0.5095,96,-0.2792,-0.2792
