dataset,predictor,predictor_params,seed,n_train,ndcg,ndcg_1mut,spearman,spearman_1mut,topk,topk_mean,topk_mean_1mut
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,0,240,0.8174,0.8174,0.7332,0.7332,96,-0.1168,-0.1168
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,1,240,0.8350,0.8350,0.7446,0.7446,96,-0.0796,-0.0796
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,2,240,0.8377,0.8377,0.7413,0.7413,96,-0.0622,-0.0622
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,3,240,0.8208,0.8208,0.7406,0.7406,96,-0.0809,-0.0809
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,4,240,0.8267,0.8267,0.7497,0.7497,96,-0.0983,-0.0983
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,5,240,0.8177,0.8177,0.7365,0.7365,96,-0.0963,-0.0963
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,6,240,0.8165,0.8165,0.7416,0.7416,96,-0.0830,-0.0830
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,7,240,0.8072,0.8072,0.7317,0.7317,96,-0.1468,-0.1468
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,8,240,0.8456,0.8456,0.7619,0.7619,96,-0.1049,-0.1049
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,9,240,0.8247,0.8247,0.7322,0.7322,96,-0.0935,-0.0935
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,10,240,0.8064,0.8064,0.7538,0.7538,96,-0.1092,-0.1092
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,11,240,0.8182,0.8182,0.7428,0.7428,96,-0.1325,-0.1325
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,12,240,0.8268,0.8268,0.7428,0.7428,96,-0.1042,-0.1042
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,13,240,0.8382,0.8382,0.7515,0.7515,96,-0.0810,-0.0810
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,14,240,0.8222,0.8222,0.7290,0.7290,96,-0.0755,-0.0755
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,15,240,0.8258,0.8258,0.7395,0.7395,96,-0.1143,-0.1143
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,16,240,0.8242,0.8242,0.7356,0.7356,96,-0.0714,-0.0714
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,17,240,0.8500,0.8500,0.7721,0.7721,96,-0.0702,-0.0702
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,18,240,0.8404,0.8404,0.7512,0.7512,96,-0.0919,-0.0919
BLAT_ECOLX_Ranganathan2015-2500,ev+onehot,,19,240,0.8237,0.8237,0.7530,0.7530,96,-0.1083,-0.1083
